,,,,,,,,,,,,,,,,,,FY12,FY13,FY14,,,FY15,,,FY16,,,FY17,,,FY18,,,,FY19,,,FY20,,,,FY21 (Covid),,,FY22,,,
STATION, FY1995 , FY1996 , FY1997 , FY1998 , FY1999 , FY2000 , FY2001 , FY2002 , FY2003 , FY2004 , FY2005 , FY2006 , FY2007 , FY2008 , FY2009 , FY2010 , FY2011 ,Spring 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Spring 2017,Summer 2017,Fall 2017,Spring 2018 (pre-Courthouse),Spring 2018 (w/Courthouse),Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Spring 2020 (thru April 11),April 2020 (Covid),Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021 (Sept21),Mid Coast (Nov 21),Spring 2022
 Lemon Grove Depot ,"1,107","1,321","1,391","1,761","1,670","1,792","1,963","1,725","1,635","1,720","1,709","1,758","1,722","1,753","1,879","1,919","1,856","  1,236 ","2,338","2,193","2,339","2,262","2,233","2,187","2,110","2,080","1,987","1,973","1,890","1,777","1,887","1,722","1,783","1,779","1,784","1,704","1,649","1,571","1,498","1,551","  1,191 ",  669 ,  744 ,  855 ,  761 ,  874 ,,  905 ,"  1,154 "
 Massachusetts Ave ,513,532,513,584,610,787,725,698,753,658,546,634,558,553,664,518,612,  369 ,715,682,698,670,668,650,604,601,575,602,556,539,574,548,568,574,575,563,573,556,542,581,  403 ,  208 ,  223 ,  251 ,  231 ,  296 ,,  294 ,  391 
 Middletown ,,,161,235,246,288,271,315,355,257,320,322,308,355,354,259,292,  184 ,374,390,362,359,405,371,366,363,348,342,311,282,298,321,282,276,277,270,277,278,282,320,  230 ,  140 ,  148 ,  162 ,  165 ,  196 ,,  243 ,  302 
 Mission San Diego ,,,,,604,582,561,543,649,676,692,394,481,480,469,385,394,  401 ,464,463,512,479,461,452,445,405,426,452,411,398,418,384,382,392,394,352,369,360,337,420,  290 ,  137 ,  155 ,  164 ,  191 ,  268 ,,  263 ,  344 
 Mission Valley Center ,,,,,694,890,748,400,719,693,718,920,"1,000","1,003","1,084","1,110",929,  980 ,"1,195","1,235","1,262","1,098","1,175","1,174","1,032","1,078","1,055",927,929,862,822,826,791,705,706,745,784,692,725,753,  515 ,  281 ,  363 ,  418 ,  410 ,  532 ,,  571 ,  661 
 Morena/Linda Vista ,,,,,512,703,667,640,718,780,663,550,615,785,737,709,691,  716 ,"1,017","1,006","1,036","1,016","1,057","1,022","1,026","1,038",967,940,949,862,932,982,909,919,922,904,892,919,975,992,  680 ,  362 ,  416 ,  430 ,  443 ,  560 ,,  479 ,  586 
 Nobel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  729 ,"  1,099 "
 Old Town ,,,"2,968","4,025","4,104","4,352","4,134","3,782","4,072","3,836","4,517","10,536","11,010","11,270","11,706","10,764","10,806","  9,392 ","6,529","6,781","6,209","6,147","6,432","5,835","5,763","5,978","5,443","5,332","5,411","4,686","4,947","5,122","4,598","4,739","4,763","4,906","4,789","4,849","5,115","5,487","  3,778 ","  1,769 ","  2,160 ","  2,300 ","  2,350 ","  3,076 ",,"  4,305 ","  5,465 "
 Pacific Fleet ,753,785,743,824,773,875,815,792,853,731,810,554,810,778,674,531,687,  500 ,632,713,566,557,635,613,681,799,720,691,662,576,642,599,632,677,678,603,542,619,770,855,  631 ,  410 ,  504 ,  552 ,  599 ,  916 ,,  694 ,  829 
 Palm Ave ,"1,573","1,571","1,861","1,993","2,175","2,574","2,813","2,461","2,370","2,276","2,296","2,277","2,267","2,535","2,703","2,346","2,414","  1,736 ","2,047","2,024","2,028","2,173","2,205","2,047","2,358","2,506","2,415","2,449","2,503","2,266","2,434","2,340","2,328","2,425","2,434","2,449","2,443","2,525","2,514","2,582","  1,908 ","  1,067 ","  1,263 ","  1,403 ","  1,392 ","  1,681 ",,"  1,678 ","  2,006 "
 Palomar St ,"2,372","2,575","2,977","3,344","3,631","3,912","4,455","3,693","3,861","3,636","3,733","3,452","4,394","4,376","4,845","4,362","4,711","  3,513 ","4,399","4,226","4,386","4,379","4,035","4,209","5,108","5,091","4,938","4,925","4,818","4,509","4,697","4,706","4,818","4,983","5,005","5,054","5,105","5,048","5,004","5,273","  3,849 ","  2,122 ","  2,460 ","  2,654 ","  2,649 ","  3,302 ",,"  3,743 ","  4,153 "
 Park/Market ,"1,590","1,603","1,750","2,062","2,238","2,510","2,062","1,981","2,194","1,520","2,209","2,363","2,653","2,671","2,777","2,400","2,665","  1,744 ","2,512","2,434","2,835","2,864","2,847","3,009","3,333","3,376","3,432","3,587","3,357","3,151","3,275","3,144","3,224","3,367","3,384","3,320","3,341","3,349","3,202","3,684","  2,745 ","  1,591 ","  1,795 ","  1,942 ","  1,892 ","  2,368 ",,"  2,531 ","  2,976 "
 Qualcomm Stadium ,,,,,160,151,131,146,138,112,155,287,286,293,289,278,211,  204 ,267,372,343,264,443,282,251,421,333,270,507,272,227,239,236,203,204,251,258,235,234,214,  158 ,  97 ,  77 ,  76 ,,,,,
 Rio Vista ,,,,,232,255,281,296,294,294,337,600,587,622,668,556,500,  592 ,693,695,719,686,693,682,725,925,633,579,552,542,537,534,514,493,495,492,496,482,486,580,  411 ,  186 ,  208 ,  233 ,  233 ,  295 ,,  296 ,  392 
 San Ysidro ,"7,374","9,299","9,324","10,218","11,024","12,330","13,614","8,548","10,871","10,454","11,062","11,685","11,226","12,029","12,381","11,461","11,460","  6,859 ","8,417","8,710","9,803","10,367","9,968","9,499","10,942","10,816","10,423","10,216","9,544","9,545","10,506","10,939","11,250","11,611","11,699","12,125","12,748","13,325","13,206","13,369","  10,326 ","  5,963 ","  7,251 ","  7,841 ","  7,824 ","  9,305 ",,"  10,681 ","  12,286 "
 Santa Fe Depot ,120,189,323,384,505,723,824,790,908,795,926,882,879,903,964,725,725,  594 ,"5,310","5,493","5,053","4,839","4,948","4,319","4,249","4,441","4,035","3,921","4,037","3,491","3,672","2,480","2,083","2,148","2,150","2,193","2,061","2,135","2,244","2,253","  1,579 ",  713 ,  861 ,  923 ,  976 ,"  1,271 ",,"  1,407 ","  1,757 "
 Santee ,,590,681,724,724,708,678,618,638,754,690,944,"1,028","1,037","1,101",898,907,"  1,010 ","1,314","1,216","1,262","1,174","1,146","1,148","1,136","1,085","1,071","1,039","1,021",960,977,919,949,978,980,978,"1,004","1,027",976,26,  866 ,  585 ,  584 ,  624 ,  662 ,  741 ,,  748 ,  878 
 SDSU ,,,,,,,,,,,,"2,985","3,568","3,858","4,532","3,944","3,027","  2,476 ","3,216","2,402","3,617","3,286","2,450","3,459","3,005","2,579","3,359","2,753","2,043","2,767","2,529","1,846","2,689","2,535","2,539","1,779","2,528","2,372","1,734","3,299","  1,996 ",  493 ,  599 ,  714 ,  719 ,"  1,416 ",,"  1,193 ","  1,687 "
 Seaport Village ,293,228,335,293,401,365,361,374,456,419,429,439,384,422,479,469,452,  265 ,653,836,746,791,967,775,789,903,717,691,904,637,698,843,614,668,670,725,611,610,764,681,  447 ,  188 ,  266 ,  306 ,  281 ,  427 ,,  380 ,  495 
 Spring St ,494,489,594,775,885,895,909,763,"1,027",873,827,886,893,962,"1,048","1,005","1,008",  701 ,"1,183","1,069","1,110","1,109","1,089","1,074","1,017",958,935,925,888,853,881,823,846,854,853,809,847,872,815,875,  614 ,  269 ,  312 ,  366 ,  343 ,  424 ,,  405 ,  532 
 Tecolote Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  217 ,  301 
 UCSD Central Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  677 ,"  1,428 "
 UCSD Health La Jolla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  198 ,  418 
 UTC Station - Platform 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,133 ",  687 
 UTC Station - Platform 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  551 
 VA Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  495 ,  667 
 Washington St ,,,356,420,519,642,483,574,638,596,731,601,654,700,641,551,498,  416 ,750,818,768,726,777,784,732,721,710,739,694,660,696,711,652,654,656,651,645,668,667,698,  520 ,  337 ,  382 ,  417 ,  436 ,  479 ,,  618 ,  790 
 Grand Total ,"56,021","61,693","70,465","81,002","90,455","97,577","100,228","90,532","95,369","90,599","93,264","106,087","111,888","116,137","123,339","112,301","116,264","  85,096 ","120,330","119,186","122,967","122,522","120,832","120,842","126,977","127,250","124,171","120,630","116,741","110,030","115,020","112,049","112,427","114,992","115,475","113,444","114,740","114,761","113,995","123,083","90,697","47,436","56,363","62,270","61,687","77,948",0,"85,190","103,761"
