objectid,stop_uid,stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_agncy,wheelchair,intersec,stop_place,parent_sta,lat,lng
3343,MTS_30241,30241,30241,Palomar St & 2nd Av,32.60797269,-117.0625676,MTS,0.00E+00,F-W/B,,,32.60796794,-117.0625557
3344,MTS_30098,30098,30098,Palomar St & 3rd Av,32.60678276,-117.066035,MTS,1,F-E/B,pal3rd,,32.60677801,-117.0660231
3345,MTS_30176,30176,30176,Palomar St & 3rd Av,32.60738431,-117.0646793,MTS,0.00E+00,M-Street-W/B,,,32.60737956,-117.0646674
3346,MTS_30237,30237,30237,Palomar St & 3rd Av,32.60676216,-117.0669044,MTS,0.00E+00,F-W/B,3rdpal,,32.60675741,-117.0668925
3347,MTS_30172,30172,30172,Palomar St & 4th Av,32.60582728,-117.0702728,MTS,1,N-W/B,,,32.60582253,-117.0702609
3348,MTS_30089,30089,30089,Palomar St & 5th Av,32.6047963,-117.0732019,MTS,0.00E+00,M-Street-E/B,,,32.60479155,-117.07319
3349,MTS_30167,30167,30167,Palomar St & 5th Av,32.60481366,-117.0738937,MTS,0.00E+00,N-W/B,,,32.60480891,-117.0738818
3350,MTS_30012,30012,30012,Palomar St & Broadway,32.6031986,-117.07947,MTS,1,N-E/B,,,32.60319385,-117.0794581
3351,MTS_30224,30224,30224,Palomar St & Broadway,32.6035137,-117.0796159,MTS,1,F-W/B,,,32.60350895,-117.079604
3352,MTS_30084,30084,30084,Palomar St & Orange Av,32.60363357,-117.0773213,MTS,2,F-E/B,,,32.60362882,-117.0773094
3353,MTS_30165,30165,30165,Palomar St & Orange Av,32.6038109,-117.0775178,MTS,1,M-Street-W/B,,,32.60380615,-117.0775059
3354,MTS_30096,30096,30096,Palomar St & Preston Pl,32.60610018,-117.0684991,MTS,0.00E+00,F-E/B,,,32.60609543,-117.0684873
3355,MTS_75008,75008,75008,Palomar Street Station,32.60329399,-117.0850819,MTS,0.00E+00,M-TC-Train-N/B,palS,palS,32.60328924,-117.08507
3356,MTS_75009,75009,75009,Palomar Street Station,32.60302707,-117.0850881,MTS,0.00E+00,M-TC-Train-S/B,palS,palS,32.60302232,-117.0850762
3357,MTS_91001,91001,91001,Palomar Street Transit Center,32.60280258,-117.0847947,MTS,1,M-TC-Bus,paltro,paltro,32.60279783,-117.0847828
3358,MTS_91003,91003,91003,Palomar Street Transit Center,32.60313152,-117.0849245,MTS,1,M-TC-Bus,paltro,paltro,32.60312677,-117.0849126
3359,MTS_96004,96004,96004,Palomar Street Transit Center,32.60296427,-117.0848644,MTS,1,M-TC-Bus,paltro,paltro,32.60295952,-117.0848525
3360,MTS_60718,60718,60718,Paradise Valley Rd & Briarwood Rd,32.6917105,-117.0363324,MTS,1,F-E/B,,,32.69170573,-117.0363206
3361,MTS_60723,60723,60723,Paradise Valley Rd & Briarwood Rd,32.69176714,-117.0373633,MTS,1,F-W/B,,,32.69176237,-117.0373514
3362,MTS_10722,10722,10722,Paradise Valley Rd & Deep Dell Rd,32.69549801,-117.0289552,MTS,1,F-E/B,deepar,,32.69549324,-117.0289433
