Neighborhood,Year,Simple Assault,Robbery,Larceny,Motor Vehicle Theft,Vandalism,Drug/Narcotic Offenses
TIERRASANTA,2025,2.2,0.04,2.23,0.86,0.97,0.22
TIJUANA RIVER VALLEY,2023,31.8,0.0,15.9,15.9,0.0,0.0
TIJUANA RIVER VALLEY,2024,63.5,0.0,0.0,15.9,63.5,15.9
TIJUANA RIVER VALLEY,2025,63.49,0.0,31.75,47.62,63.49,47.62
TORREY HIGHLANDS,2023,1.6,0.0,2.8,0.9,2.0,0.4
TORREY HIGHLANDS,2024,1.0,0.0,2.5,0.4,1.3,0.4
TORREY HIGHLANDS,2025,1.31,0.0,2.91,0.29,0.87,0.0
TORREY PINES,2023,0.9,0.0,1.5,0.6,0.7,0.4
TORREY PINES,2024,0.9,0.2,2.2,1.1,1.1,0.4
TORREY PINES,2025,1.22,0.09,1.56,1.22,0.69,0.69
TORREY PRESERVE,2023,0.0,0.0,0.0,0.0,0.0,0.0
TORREY PRESERVE,2024,0.0,0.0,0.0,0.0,0.0,0.0
TORREY PRESERVE,2025,0.0,0.0,0.0,0.0,0.0,0.0
UNIVERSITY CITY,2023,2.1,0.3,7.8,2.1,3.0,1.0
UNIVERSITY CITY,2024,2.2,0.4,9.2,1.9,2.6,0.7
UNIVERSITY CITY,2025,2.22,0.55,9.94,1.9,2.36,0.7
UNIVERSITY HEIGHTS,2023,2.5,0.3,4.4,3.1,3.9,1.1
UNIVERSITY HEIGHTS,2024,3.4,0.3,7.2,4.2,4.3,2.6
UNIVERSITY HEIGHTS,2025,3.22,0.13,6.9,2.36,3.48,2.3
VALENCIA PARK,2023,6.8,0.2,2.9,4.3,5.4,2.2
